,card name,expansion,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities-1,abilities-2,flavour text-1,flavour text-2,card no,artist,avg price ($),market price ($),foil avg ($),foil price ($),img url
15136,Zephyr Charge,Core Set 2020,"
Common",2,1,Blue,Enchantment,, ,,: Target creature gains flying until end of turn., ,"""The knights charged forward on wings of wind, and the necromancer's horde roared in helpless rage.""",,82,Steve Prescott,0.2,0.02,0.3,0.07,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=466836&type=card
15137,Adherent of Hope,Core Set 2021,"
Common",2,1,White,Creature , Human Soldier,2,1,"At the beginning of combat on your turn, if you control a Basri planeswalker, put a +1/+1 counter on Adherent of Hope.", ,"""Basri has shown me the way forward, and I will follow.""",,321,Dan Scott,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=488627&type=card
15138,Alchemist's Gift,Core Set 2021,"
Common",1,0,Black,Instant,, ,,Target creature gets +1/+1 and gains your choice of deathtouch or lifelink until end of turn. (Any amount of damage a creature with deathtouch deals to a creature is enough to destroy it. Damage dealt by a creature with lifelink also causes its controller to gain that much life.), ,,,87,Cristi Balanescu,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485410&type=card
15139,Alpine Houndmaster,Core Set 2021,"
Uncommon",2,0,"Red, White",Creature , Human Warrior,2,2,"When Alpine Houndmaster enters the battlefield, you may search your library for a card named Alpine Watchdog and/or a card named Igneous Cur, reveal them, put them into your hand, then shuffle.", ,,,215,Mark Behm,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485538&type=card
15140,Alpine Watchdog,Core Set 2021,"
Common",2,1,White,Creature , Dog,2,2,Vigilance (Attacking doesn't cause this creature to tap.), ,"""On the eighth day, a blizzard hit. Supplies were lost, and morale plummeted. On the ninth day, Dover found us.""",,2,Forrest Imel,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485325&type=card
15141,Angelic Ascension,Core Set 2021,"
Uncommon",2,1,White,Instant,, ,,Exile target creature or planeswalker. Its controller creates a 4/4 white Angel creature token with flying., ,"Within her battalion she was known as the Angel of Arkvale. Until now, that was only a metaphor.",,3,Volkan Baga,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485326&type=card
15142,Animal Sanctuary,Core Set 2021,"
Rare",0,0,none,Land,, ,,: Add ., ,"""No owners allowed.""",,242,Alayna Danner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485565&type=card
15143,Anointed Chorister,Core Set 2021,"
Common",1,0,White,Creature , Human Cleric,1,1,Lifelink (Damage dealt by this creature also causes you to gain that much life.), ,"""I sing of benevolence and mercy, of golden wings bringing comfort to the meek and downtrodden.""",,4,Bastien L. Deharme,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485327&type=card
15144,Archfiend's Vessel,Core Set 2021,"
Uncommon",1,0,Black,Creature , Human Cleric,1,1,Lifelink (Damage dealt by this creature also causes you to gain that much life.), ,,,88,Jake Murray,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485411&type=card
15145,Aven Gagglemaster,Core Set 2021,"
Uncommon",5,3,"White, White",Creature , Bird Warrior,4,3,Flying, ,An aven's gear is enchanted to avoid weighing them down during aerial maneuvers.,,5,Mike Bierek,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485328&type=card
15147,Bad Deal,Core Set 2021,"
Uncommon",6,4,"Black, Black",Sorcery,, ,,You draw two cards and each opponent discards two cards. Each player loses 2 life., ,There are still places where a smile and a handshake are all you need to seal a deal.,,89,Zoltan Boros,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485412&type=card
15149,"Barrin, Tolarian Archmage",Core Set 2021,"
Rare",3,1,"Blue, Blue",Legendary Creature , Human Wizard,2,2,"When Barrin, Tolarian Archmage enters the battlefield, return up to one other target creature or planeswalker to its owner's hand.", ,"""There is no age at which you stop learning.""",,45,Ryan Pancoast,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485368&type=card
15150,Basri Ket,Core Set 2021,"
Mythic Rare",3,1,"White, White",Legendary Planeswalker , Basri,3,,+1: Put a +1/+1 counter on up to one target creature. It gains indestructible until end of turn., ,,,7,Kieran Yanner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485330&type=card
15151,"Basri, Devoted Paladin",Core Set 2021,"
Mythic Rare",6,4,"White, White",Legendary Planeswalker , Basri,4,,+1: Put a +1/+1 counter on up to one target creature. It gains vigilance until end of turn., ,,,320,Jason Rainville,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=488626&type=card
15152,Basri's Acolyte,Core Set 2021,"
Common",4,2,"White, White",Creature , Cat Cleric,2,3,Lifelink (Damage dealt by this creature also causes you to gain that much life.), ,"Basri carries on his god's legacy, spreading her teachings throughout the Multiverse.",,8,Leesha Hannigan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485331&type=card
15153,Basri's Aegis,Core Set 2021,"
Rare",4,2,"White, White",Sorcery,, ,,"Put a +1/+1 counter on each of up to two target creatures. You may search your library and/or graveyard for a card named Basri, Devoted Paladin, reveal it, and put it into your hand. If you search your library this way, shuffle.", ,"""As long as we survive, we can rebuild.""",,322,Paul Scott Canavan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=488628&type=card
15154,Basri's Lieutenant,Core Set 2021,"
Rare",4,3,White,Creature , Human Knight,3,4,"Vigilance, protection from multicolored", ,,,9,Matt Stewart,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485332&type=card
15155,Basri's Solidarity,Core Set 2021,"
Uncommon",2,1,White,Sorcery,, ,,Put a +1/+1 counter on each creature you control., ,"""The will to fight and act as one is not limited to a single world. Oketra's teachings are universal.""",,10,Paul Scott Canavan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485333&type=card
15159,Blood Glutton,Core Set 2021,"
Common",5,4,Black,Creature , Vampire,4,3,Lifelink (Damage dealt by this creature also causes you to gain that much life.), ,"""Some savor the hunt. I savor the kill.""",,90,Anna Podedworna,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485413&type=card
15166,Bolt Hound,Core Set 2021,"
Uncommon",3,2,Red,Creature , Elemental Dog,2,2,Haste (This creature can attack and as soon as it comes under your control.), ,Its spark is worse than its bite.,,131,Forrest Imel,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485454&type=card
15167,Bone Pit Brute,Core Set 2021,"
Common",6,4,"Red, Red",Creature , Cyclops,4,5,Menace (This creature can't be blocked except by two or more creatures.), ,Welcome to the club.,,132,Victor Adame Minguez,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485455&type=card
15168,Brash Taunter,Core Set 2021,"
Rare",5,4,Red,Creature , Goblin,1,1,Indestructible, ,"""You hit like a kobold!""",,133,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485456&type=card
15169,Burlfist Oak,Core Set 2021,"
Uncommon",4,2,"Green, Green",Creature , Treefolk,2,3,"Whenever you draw a card, Burlfist Oak gets +2/+2 until end of turn.", ,"If a tree fells you in the forest and no one is around to hear it, ""does it make a sound"" is the last thing you need to worry about.",,174,Milivoj Ćeran,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485497&type=card
15170,Burn Bright,Core Set 2021,"
Common",3,2,Red,Instant,, ,,Creatures you control get +2/+0 until end of turn., ,"""From a great bonfire at the dawn of time, the first Gruul kindled their rage. The same flame burns in you.""",,134,Scott Murphy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485457&type=card
15171,Caged Zombie,Core Set 2021,"
Common",3,2,Black,Creature , Zombie,2,3,", : Each opponent loses 2 life. Activate only if a creature died this turn.", ,"""Six consecutive life sentences"" takes on a new meaning when necromancy is involved.",,91,Josh Hass,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485414&type=card
15173,Canopy Stalker,Core Set 2021,"
Uncommon",4,3,Green,Creature , Cat,4,2,Canopy Stalker must be blocked if able., ,"The forest's cover offers shade, shelter, and an increased risk of sudden death.",,175,Ilse Gort,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485498&type=card
15175,Carrion Grub,Core Set 2021,"
Uncommon",4,3,Black,Creature , Insect,0,5,"Carrion Grub gets +X/+0, where X is the greatest power among creature cards in your graveyard.", ,,,92,Nicholas Gregory,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485415&type=card
15176,Celestial Enforcer,Core Set 2021,"
Common",3,2,White,Creature , Human Cleric,2,3,", : Tap target creature. Activate only if you control a creature with flying.", ,"""I look to the heavens for hope, but you will kneel.""",,11,Bastien L. Deharme,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485334&type=card
15177,"Chandra, Flame's Catalyst",Core Set 2021,"
Mythic Rare",6,4,"Red, Red",Legendary Planeswalker , Chandra,5,,"+1: Chandra, Flame's Catalyst deals 3 damage to each opponent.", ,,,332,Grzegorz Rutkowski,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=488638&type=card
15178,"Chandra, Heart of Fire",Core Set 2021,"
Mythic Rare",5,3,"Red, Red",Legendary Planeswalker , Chandra,5,,"+1: Discard your hand, then exile the top three cards of your library. Until end of turn, you may play cards exiled this way.", ,,,135,Josu Hernaiz,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485458&type=card
15179,Chandra's Firemaw,Core Set 2021,"
Rare",5,3,"Red, Red",Creature , Hellion,4,2,Haste, ,,,333,Bryan Sola,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=488639&type=card
15180,Chandra's Incinerator,Core Set 2021,"
Rare",6,5,Red,Creature , Elemental,6,6,"This spell costs less to cast, where X is the total amount of noncombat damage dealt to your opponents this turn.", ,,,136,Craig J Spearing,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485459&type=card
15181,Chandra's Magmutt,Core Set 2021,"
Common",2,1,Red,Creature , Elemental Dog,2,2,: Chandra's Magmutt deals 1 damage to target player or planeswalker., ,"""Is it purebred? No, but it's pure fire.""",,137,Kimonas Theodossiou,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485460&type=card
15182,Chandra's Pyreling,Core Set 2021,"
Uncommon",2,1,Red,Creature , Elemental Lizard,1,3,"Whenever a source you control deals noncombat damage to an opponent, Chandra's Pyreling gets +1/+0 and gains double strike until end of turn. (It deals both first-strike and regular combat damage.)", ,"""I think Chandra just wanted something to blame random scorch marks on.""",,138,Josu Hernaiz,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485461&type=card
15183,Chromatic Orrery,Core Set 2021,"
Mythic Rare",7,7,none,Legendary Artifact,, ,,You may spend mana as though it were mana of any color., ,"Visitors marvel at its design, unaware of the other world that inspired it.",,228,Volkan Baga,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485551&type=card
15184,Chrome Replicator,Core Set 2021,"
Uncommon",5,5,none,Artifact Creature , Construct,4,4,"When Chrome Replicator enters the battlefield, if you control two or more nonland, nontoken permanents with the same name as one another, create a 4/4 colorless Construct artifact creature token.", ,Who would you trust to watch your back more than yourself?,,229,Daniel Ljunggren,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485552&type=card
15186,Conclave Mentor,Core Set 2021,"
Uncommon",2,0,"Green, White",Creature , Centaur Cleric,2,2,"If one or more +1/+1 counters would be put on a creature you control, that many plus one +1/+1 counters are put on that creature instead.", ,"""I have faith in your potential.""",,216,Raoul Vitale,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485539&type=card
15188,Conspicuous Snoop,Core Set 2021,"
Rare",2,0,"Red, Red",Creature , Goblin Rogue,2,2,Play with the top card of your library revealed., ,,,139,Zoltan Boros,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485462&type=card
15191,Crypt Lurker,Core Set 2021,"
Common",4,3,Black,Creature , Horror,3,4,"When Crypt Lurker enters the battlefield, you may sacrifice a creature or discard a creature card. If you do, draw a card.", ,"""Even the rats refuse to set foot inside. I fear to think what might be waiting in there.""",,93,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485416&type=card
15199,Daybreak Charger,Core Set 2021,"
Common",2,1,White,Creature , Unicorn,3,1,"When Daybreak Charger enters the battlefield, target creature gets +2/+0 until end of turn.", ,It's often mistaken for the coming dawn as it gallops across the horizon.,,14,Forrest Imel,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485337&type=card
15202,Demonic Embrace,Core Set 2021,"
Rare",3,1,"Black, Black",Enchantment , Aura, ,,Enchant creature, ,,,95,Sidharth Chaturvedi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485418&type=card
15204,Dire Fleet Warmonger,Core Set 2021,"
Uncommon",3,1,"Black, Red",Creature , Orc Pirate,3,3,"At the beginning of combat on your turn, you may sacrifice another creature. If you do, Dire Fleet Warmonger gets +2/+2 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.)", ,,,217,Mathias Kollros,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485540&type=card
15205,Discontinuity,Core Set 2021,"
Mythic Rare",6,3,"Blue, Blue, Blue",Instant,, ,,"As long as it's your turn, this spell costs less to cast.", ,,,48,Volkan Baga,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485371&type=card
15210,Double Vision,Core Set 2021,"
Rare",5,3,"Red, Red",Enchantment,, ,,"Whenever you cast your first instant or sorcery spell each turn, copy that spell. You may choose new targets for the copy.", ,"""Your eyes aren't playing tricks on you. I am.""",,142,Heonhwa Choe,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485465&type=card
15211,Drowsing Tyrannodon,Core Set 2021,"
Common",2,1,Green,Creature , Dinosaur,3,3,Defender (This creature can't attack.), ,What the rangers thought were warning growls turned out to be nothing but monstrous snoring.,,178,Simon Dominic,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485501&type=card
15216,Elder Gargaroth,Core Set 2021,"
Mythic Rare",5,3,"Green, Green",Creature , Beast,6,6,"Vigilance, reach, trample", ,,,179,Nicholas Gregory,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485502&type=card
15217,Eliminate,Core Set 2021,"
Uncommon",2,1,Black,Instant,, ,,Destroy target creature or planeswalker with mana value 3 or less., ,"""Cruelty? No. This is necessity.""",,97,Chris Cold,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485420&type=card
15218,Enthralling Hold,Core Set 2021,"
Uncommon",5,3,"Blue, Blue",Enchantment , Aura, ,,Enchant creature, ,"""I offered to pay him to do the job, but he refused. So I took matters into my own hands.""",,49,Colin Boyer,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485372&type=card
15219,Epitaph Golem,Core Set 2021,"
Uncommon",5,5,none,Artifact Creature , Golem,3,5,: Put target card from your graveyard on the bottom of your library., ,Many names and many memories bound together in grim purpose.,,230,Adam Paquette,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485553&type=card
15220,Experimental Overload,Core Set 2021,"
Uncommon",4,2,"Blue, Red",Sorcery,, ,,"Create an X/X blue and red Weird creature token, where X is the number of instant and sorcery cards in your graveyard. Then you may return an instant or sorcery card from your graveyard to your hand. Exile Experimental Overload.", ,"Explosions aren't necessarily failures, just a different kind of success.",,218,Lie Setiawan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485541&type=card
15221,Fabled Passage,Core Set 2021,"
Rare",0,0,none,Land,, ,,", Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.", ,"From here, the path to anywhere may be found.",,246,Howard Lyon,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485569&type=card
15224,Falconer Adept,Core Set 2021,"
Uncommon",4,3,White,Creature , Human Soldier,2,3,"Whenever Falconer Adept attacks, create a 1/1 white Bird creature token with flying that's tapped and attacking.", ,"""My falcons are family, as much as any other member of my clan.""",,18,Billy Christian,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485341&type=card
15226,Feline Sovereign,Core Set 2021,"
Rare",3,2,Green,Creature , Cat,2,3,Other Cats you control get +1/+1 and have protection from Dogs., ,Dogs beg. Cats lay claim.,,180,Dan Scott,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485503&type=card
15230,Fiery Emancipation,Core Set 2021,"
Mythic Rare",6,3,"Red, Red, Red",Enchantment,, ,,"If a source you control would deal damage to a permanent or player, it deals triple that damage to that permanent or player instead.", ,"""One day the mountain's fire will rise up to burn away our chains and end this age of oppression.""",,143,Alexander Forssberg,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485466&type=card
15231,Finishing Blow,Core Set 2021,"
Common",5,4,Black,Instant,, ,,Destroy target creature or planeswalker., ,"""In this world, it's kill or be killed. I'd rather not be the latter.""",,99,Wylie Beckert,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485422&type=card
15234,Forgotten Sentinel,Core Set 2021,"
Common",4,4,none,Artifact Creature , Golem,4,3,Forgotten Sentinel enters the battlefield tapped., ,"It was built to withstand the ages, but no one remembers who built it or why it keeps its eternal watch.",,231,Joe Slucher,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485554&type=card
15235,Frantic Inventory,Core Set 2021,"
Common",2,1,Blue,Instant,, ,,"Draw a card, then draw cards equal to the number of cards named Frantic Inventory in your graveyard.", ,"""Another village, another angry mob. Why do I even bother unpacking?""",,50,Aaron Miller,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485373&type=card
15236,Frost Breath,Core Set 2021,"
Common",3,2,Blue,Instant,, ,,Tap up to two target creatures. Those creatures don't untap during their controller's next untap step., ,"""I'll make ice chimes of your bones.""",,51,Mike Bierek,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485374&type=card
15237,Fungal Rebirth,Core Set 2021,"
Uncommon",3,2,Green,Instant,, ,,"Return target permanent card from your graveyard to your hand. If a creature died this turn, create two 1/1 green Saproling creature tokens.", ,"""We're all food for something in the end.""",,182,Nicholas Gregory,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485505&type=card
15238,Furious Rise,Core Set 2021,"
Uncommon",3,2,Red,Enchantment,, ,,"At the beginning of your end step, if you control a creature with power 4 or greater, exile the top card of your library. You may play that card until you exile another card with Furious Rise.", ,"Klothys set out to mend the destiny of Theros, her fury guiding every stitch.",,144,Chase Stone,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485467&type=card
15240,"Gadrak, the Crown-Scourge",Core Set 2021,"
Rare",3,2,Red,Legendary Creature , Dragon,5,4,Flying, ,,,146,Daarken,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485469&type=card
15241,Gale Swooper,Core Set 2021,"
Common",4,3,White,Creature , Griffin,3,2,Flying, ,"""Be glad the griffin set you back on your feet when it was done with you. My goat wasn't so lucky.""",,20,Johann Bodin,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485343&type=card
15242,"Garruk, Savage Herald",Core Set 2021,"
Mythic Rare",6,4,"Green, Green",Legendary Planeswalker , Garruk,5,,"+1: Reveal the top card of your library. If it's a creature card, put it into your hand. Otherwise, put it on the bottom of your library.", ,,,336,Eric Deschamps,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=488642&type=card
15243,"Garruk, Unleashed",Core Set 2021,"
Mythic Rare",4,2,"Green, Green",Legendary Planeswalker , Garruk,4,,+1: Up to one target creature gets +3/+3 and gains trample until end of turn., ,,,183,Lie Setiawan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485506&type=card
15244,Garruk's Gorehorn,Core Set 2021,"
Common",5,4,Green,Creature , Beast,7,3,+1: Up to one target creature gets +3/+3 and gains trample until end of turn., ,"""It certainly takes after its master: big and brutish, and you can smell it from a mile away.""",,184,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485507&type=card
15245,Garruk's Harbinger,Core Set 2021,"
Rare",3,1,"Green, Green",Creature , Beast,4,3,Hexproof from black, ,,,185,Lie Setiawan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485508&type=card
15246,Garruk's Uprising,Core Set 2021,"
Uncommon",3,2,Green,Enchantment,, ,,"When Garruk's Uprising enters the battlefield, if you control a creature with power 4 or greater, draw a card.", ,,,186,Wisnu Tan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485509&type=card
15247,Garruk's Warsteed,Core Set 2021,"
Rare",5,3,"Green, Green",Creature , Rhino,3,5,Vigilance, ,,,337,Ilse Gort,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=488643&type=card
15248,Ghostly Pilferer,Core Set 2021,"
Rare",2,1,Blue,Creature , Spirit Rogue,2,1,"Whenever Ghostly Pilferer becomes untapped, you may pay . If you do, draw a card.", ,,,52,Craig J Spearing,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485375&type=card
15249,Gloom Sower,Core Set 2021,"
Common",7,5,"Black, Black",Creature , Horror,8,6,"Whenever Gloom Sower becomes blocked by a creature, that creature's controller loses 2 life and you gain 2 life.", ,"""First, the darkness fell. Terror came next. After that, only despair remained.""",,100,Chris Cold,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485423&type=card
15251,Gnarled Sage,Core Set 2021,"
Common",5,3,"Green, Green",Creature , Treefolk Druid,4,4,Reach (This creature can block creatures with flying.), ,,,187,Raoul Vitale,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485510&type=card
15253,Goblin Wizardry,Core Set 2021,"
Common",4,3,Red,Instant,, ,,"Create two 1/1 red Goblin Wizard creature tokens with prowess. (Whenever you cast a noncreature spell, they get +1/+1 until end of turn.)", ,"""Quiet in the library"" soon gave way to larger concerns.",,148,Izzy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485471&type=card
15254,Goremand,Core Set 2021,"
Uncommon",6,4,"Black, Black",Creature , Demon,5,5,"As an additional cost to cast this spell, sacrifice a creature.", ,,,101,Igor Kieryluk,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485424&type=card
15256,Griffin Aerie,Core Set 2021,"
Uncommon",2,1,White,Enchantment,, ,,"At the beginning of your end step, if you gained 3 or more life this turn, create a 2/2 white Griffin creature token with flying.", ,"When griffins started nesting atop the northern tower, the castellan worried they'd be a nuisance. Instead, they took the entire castle under their protection.",,22,Milivoj Ćeran,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485345&type=card
15257,Grim Tutor,Core Set 2021,"
Mythic Rare",3,1,"Black, Black",Sorcery,, ,,"Search your library for a card, put that card into your hand, then shuffle. You lose 3 life.", ,"As blood touched the empty page, it formed words that seared themselves into the wizard's mind.",,103,Igor Kieryluk,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485426&type=card
15258,Havoc Jester,Core Set 2021,"
Uncommon",5,4,Red,Creature , Devil,5,5,"Whenever you sacrifice a permanent, Havoc Jester deals 1 damage to any target.", ,"To the Rakdos, screams of delight and screams of terror are one and the same.",,149,Jason A. Engle,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485472&type=card
15259,Heartfire Immolator,Core Set 2021,"
Uncommon",2,1,Red,Creature , Human Wizard,2,2,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)", ,"""I'd rather go out in a blaze of glory than fade away and be forgotten.""",,150,Donato Giancola,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485473&type=card
15260,Hellkite Punisher,Core Set 2021,"
Uncommon",7,5,"Red, Red",Creature , Dragon,6,6,Flying, ,"""We'll pay no more tribute to that tyrannical lizard. A new age starts today!""",,151,Andrey Kuzinskiy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485474&type=card
15262,Historian of Zhalfir,Core Set 2021,"
Uncommon",4,2,"Blue, Blue",Creature , Human Wizard,3,3,"Whenever Historian of Zhalfir attacks, if you control a Teferi planeswalker, draw a card.", ,"""Come and listen. I'll tell you the story of a nation lost to time, and of the man who caused it.""",,325,Denman Rooke,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=488631&type=card
15263,Hobblefiend,Core Set 2021,"
Common",2,1,Red,Creature , Devil,2,1,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.), ,Bedbugs aren't the only things you need to worry about biting you at night.,,152,Nicholas Gregory,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485475&type=card
15264,Hooded Blightfang,Core Set 2021,"
Rare",3,2,Black,Creature , Snake,1,4,Deathtouch, ,,,104,Uriah Voth,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485427&type=card
15265,Hunter's Edge,Core Set 2021,"
Common",4,3,Green,Sorcery,, ,,Put a +1/+1 counter on target creature you control. Then that creature deals damage equal to its power to target creature you don't control., ,The hunt ends. Lunch begins.,,189,Johann Bodin,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485512&type=card
15266,Idol of Endurance,Core Set 2021,"
Rare",3,2,White,Artifact,, ,,"When Idol of Endurance enters the battlefield, exile all creature cards with mana value 3 or less from your graveyard until Idol of Endurance leaves the battlefield.", ,,,23,Kim Sokol,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485346&type=card
15267,Igneous Cur,Core Set 2021,"
Common",2,1,Red,Creature , Elemental Dog,1,2,: Igneous Cur gets +2/+0 until end of turn., ,Some dogs just aren't meant to be indoor pets.,,153,Igor Kieryluk,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485476&type=card
15268,Indulging Patrician,Core Set 2021,"
Uncommon",3,1,"White, Black",Creature , Vampire Noble,1,4,Flying, ,"""Just a nibble for now. I wouldn't want to ruin my appetite.""",,219,Miranda Meeks,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485542&type=card
15270,Invigorating Surge,Core Set 2021,"
Uncommon",3,2,Green,Instant,, ,,"Put a +1/+1 counter on target creature you control, then double the number of +1/+1 counters on that creature.", ,"For hydras, most problems can be solved with the addition of a few extra heads.",,190,Randy Vargas,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485513&type=card
15275,"Jolrael, Mwonvuli Recluse",Core Set 2021,"
Rare",2,1,Green,Legendary Creature , Human Druid,1,2,"Whenever you draw your second card each turn, create a 2/2 green Cat creature token.", ,"""Humans bring nothing but suffering and deceit. They are not welcome in my forest.""",,191,Izzy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485514&type=card
15282,"Kaervek, the Spiteful",Core Set 2021,"
Rare",4,2,"Black, Black",Legendary Creature , Human Warlock,3,2,Other creatures get -1/-1., ,"""Defy me and I will burn the flesh from your bones. Betray me and I will steal the breath from your lungs.""",,106,Daarken,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485429&type=card
15283,Keen Glidemaster,Core Set 2021,"
Common",2,1,Blue,Creature , Human Soldier,2,1,: Target creature gains flying until end of turn., ,"""Fear is a rational response, but waiting won't make it any easier. Just jump!""",,54,Caroline Gariba,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485377&type=card
